Fz,C3,Cz,C4,Pz,PO7,Oz,PO8
239200.515625,231327.875,275533.625,272475.65625,212720.671875,211673.171875,204217.078125,225302.46875
235757.625,228005.859375,271575.5,268561.84375,209685.125,208630.296875,201284.171875,222078.453125
232525.484375,224871.796875,267849.5625,264891.25,206798.4375,205755.78125,198492.984375,219012.5
229493.953125,221937.984375,264353.125,261449.984375,204069.921875,203053.625,195888.546875,216151.296875
226635.171875,219161.453125,261052.296875,258150.328125,201512.078125,200531.640625,193459.8125,213450.765625
223960.734375,216581.34375,257962.921875,255094.03125,199148.0625,198160.921875,191166.875,210931.90625
221435.53125,214136.15625,255045.671875,252218.609375,196924.59375,195905.546875,189007.609375,208563.953125
219031.109375,211816.140625,252267.703125,249473.734375,194783.03125,193780.515625,186956.703125,206280.859375
216758.828125,209614.578125,249642.890625,246881.828125,192743.921875,191781.1875,185015.328125,204132.765625
214614.75,207542.75,247168.109375,244430.734375,190827.484375,189878.796875,183169.421875,202121.734375
212602.734375,205596.8125,244839.859375,242132.171875,189053.203125,188085.109375,181448.703125,200230.421875
210709.71875,203764.859375,242649.296875,239966.46875,187400.515625,186419.28125,179852.96875,198454.0
208905.9375,202023.921875,240561.90625,237904.5625,185800.84375,184830.96875,178314.890625,196756.875
207189.953125,200364.265625,238571.171875,235941.359375,184252.140625,183308.8125,176846.65625,195134.84375
205566.5,198794.09375,236686.125,234077.765625,182800.4375,181878.296875,175474.53125,193612.421875
204024.40625,197309.671875,234900.03125,232311.703125,181454.234375,180527.984375,174172.3125,192170.03125
202575.390625,195906.703125,233215.15625,230648.015625,180188.59375,179246.78125,172939.84375,190809.609375
201179.84375,194555.671875,231596.359375,229049.953125,178950.671875,178009.921875,171757.609375,189501.3125
199881.828125,193304.25,230082.96875,227554.359375,177778.546875,176868.296875,170652.625,188270.984375
198660.796875,192131.21875,228656.125,226141.734375,176688.84375,175796.65625,169623.46875,187126.84375
197476.859375,190989.40625,227280.953125,224786.765625,175658.53125,174761.40625,168627.296875,186025.625
196357.140625,189899.53125,225976.234375,223500.109375,174691.5,173782.5,167691.5625,184974.90625
